id,text
982359128025726976,RT @AilsaSinclair: Shetland tap water is just sooooo much better than the tap water south
982359074204409856,"RT @drsanjaygupta: About 20% of Americans rely on water systems like the one in Martin County, Kentucky -- where residents are worried thei‚Ä¶"
982359002163138560,"RT @IzJustMyOpinion: Michigan's Republican governor just cut off bottled water for Flint's desperate residents
Five years later, Flint stil‚Ä¶"
982359000091152384,RT @alexanderjkay: Out this evening just making sure residents' tap water is OK following the nearby mains leak. Rubbish collections also r‚Ä¶
982358674554458113,"RT @AllisonRaskin: Things you should never do:
1) Comment on someone's weight
2) Tell me why you are commenting on my weight
3) Talk to me‚Ä¶"
982358364335296512,RT @gretchenwhitmer: The people of Flint don't trust the water coming out of their tap because Rick Snyder put dollars and cents ahead of t‚Ä¶
982358332076945408,"RT @RubyRockstar333: Things I Trust More Than 
#JohnBrennan :

Ì†ΩÌ≤© Hillary's Depends
‚ôÇÔ∏è Michelle O's Estrogen
Ì†ºÌº¥ Epstein's Island
Ì†ΩÌªãÔ∏è Weinstein‚Ä¶"
982358158994825217,A few more words on Alzheimer's prevention: Tap water? Caviar? Twinkies? https://t.co/1SxnigZFwP
982358052161585152,"@Josephus_Kurai @nickmangwana @ProfJNMoyo @IKachembere @TichRay Apa he is foreign based, tweeting from a fully air‚Ä¶ https://t.co/Vnym84frSO"
982358003176411136,"Michigan's Republican governor just cut off bottled water for Flint's desperate residents
Five years later, Flint s‚Ä¶ https://t.co/OA7V2HALex"
982357427294294018,@BorisJohnson There's no water in the tap? - Mr Putin is to blame)).. why wouldn't you guys just attend to domestic‚Ä¶ https://t.co/xuyY9KLPS5
982357285056995328,"Starting tomorrow in Wards 2, 3, 4 and 5, a watermain flushing program begins as part of our commitment to providin‚Ä¶ https://t.co/KX4xrs3A45"
982357256560930816,Open access to Twitter and potable tap water are two things that millions of Americans take for granted...not this cowboy Ì†ΩÌ∏é
982356871184027649,RT @johnjsuarez: For those considering bottled water as an alternative to tap water from the South Florida aquifer. Now that some want to p‚Ä¶
982356845980471297,I LOVE THIS! ‚ù§Ô∏è Steph Curry has teamed up w/ @BritaUSA to help keep plastic water bottles out of schools. Just ONE‚Ä¶ https://t.co/ZFDpqSFRZ2
